cpt_code,cpt_description,total_services,total_beneficiaries,physician_count,avg_payment,total_revenue,national_avg_payment,national_total_services,payment_vs_national,payment_gap_dollars
87801,"Detection test by nucleic acid for multiple organisms, amplified probe(s) technique",87336.0,19216,217,68.44125762160368,5986639.05,,,,
36415,Insertion of needle into vein for collection of blood sample,722515.0,527407,2806,8.020928992145688,5799516.68,,,,
99205,"New patient office or other outpatient visit, 60-74 minutes",37200.0,37198,1149,155.54655961490312,5792874.08,,,,
J3145,"Injection, testosterone undecanoate, 1 mg",4066867.0,1775,67,1.408525106847761,5748391.899999999,,,,
52224,"Destruction of growth of bladder and urethra using an endoscope, less than 0.5 cm",10572.0,8725,314,419.16272282900934,5389811.41,652.68041535,13651.0,-35.8,-233.52
52224,"Destruction of growth of bladder and urethra using an endoscope, less than 0.5 cm",10572.0,8725,314,419.16272282900934,5389811.41,299.81590077,16830.0,39.8,119.35
76856,Complete ultrasound scan of pelvis,62689.0,50667,465,80.45296223785408,5227901.17,,,,
87481,"Detection test for candida species (yeast), amplified probe technique",142354.0,36991,369,34.29879961509214,4882063.63,,,,
52649,Complete laser fragmentation of prostate including control of bleeding using an endoscope,7513.0,7498,209,638.091609179151,4795593.29,618.46918919,333.0,3.2,19.62
52649,Complete laser fragmentation of prostate including control of bleeding using an endoscope,7513.0,7498,209,638.091609179151,4795593.29,677.18745018,7126.0,-5.8,-39.1
52281,Dilation of urethra using an endoscope,20717.0,17609,548,213.25343978866198,4751030.53,232.89590976,23649.0,-8.4,-19.64
52281,Dilation of urethra using an endoscope,20717.0,17609,548,213.25343978866198,4751030.53,267.00057908,31412.0,-20.1,-53.75
51729,Complex measurement of pressure of urine flow in bladder with urethra pressure and voiding pressure studies,16137.0,15687,456,276.6629551540546,4647073.55,98.912602766,5206.0,179.7,177.75
51729,Complex measurement of pressure of urine flow in bladder with urethra pressure and voiding pressure studies,16137.0,15687,456,276.6629551540546,4647073.55,294.92855999,46472.0,-6.2,-18.27
76775,Limited ultrasound scan behind abdominal cavity,107789.0,88388,987,40.1397642039175,4616402.11,,,,
51702,Simple insertion of temporary bladder tube,96735.0,45426,2308,44.65170282282042,4381754.03,45.237885554,181466.0,-1.3,-0.59
51702,Simple insertion of temporary bladder tube,96735.0,45426,2308,44.65170282282042,4381754.03,19.021340262,36657.0,134.7,25.63
Q2043,"Sipuleucel-t, minimum of 50 million autologous cd54+ cells activated with pap-gm-csf, including leukapheresis and all other preparatory procedures, per infusion",104.0,44,3,41694.64856533334,4325145.62,,,,
52441,"Insertion of implant in urethra within prostate gland using an endoscope, 1 implant",10471.0,10402,519,415.48120730461756,4318818.99,1063.2728398,7585.0,-60.9,-647.79
52441,"Insertion of implant in urethra within prostate gland using an endoscope, 1 implant",10471.0,10402,519,415.48120730461756,4318818.99,158.15948168,15203.0,162.7,257.32
52648,Complete laser vaporization of prostate including control of bleeding using an endoscope,7625.0,7593,384,554.0967340946667,4230829.03,1057.5296327,490.0,-47.6,-503.43
52648,Complete laser vaporization of prostate including control of bleeding using an endoscope,7625.0,7593,384,554.0967340946667,4230829.03,714.85743238,16821.0,-22.5,-160.76
64566,Insertion of lower leg neurostimulator electrode,43088.0,8403,367,94.78396617427248,4212110.95,,,,
87150,"Identification of organisms by genetic analysis, amplified probe technique",120959.0,5285,38,34.30533474805263,4139339.4800000004,,,,
81003,Automated urinalysis test,1830162.0,1170943,3806,2.186466136044057,4005220.08,,,,
51700,Simple bladder irrigation and/or instillation,77527.0,54148,1963,52.83936719719442,3989074.79,54.806446642,147514.0,-3.6,-1.97
51700,Simple bladder irrigation and/or instillation,77527.0,54148,1963,52.83936719719442,3989074.79,20.697463866,26706.0,155.3,32.14
74178,Ct scan of abdomen and pelvis before and after contrast,19964.0,19563,598,198.05202602836727,3901870.11,,,,
51720,Instillation of anti-cancer drug into bladder,56201.0,19779,1038,63.66286693238541,3719993.58,26.379128956,18518.0,141.3,37.28
51720,Instillation of anti-cancer drug into bladder,56201.0,19779,1038,63.66286693238541,3719993.58,66.598729893,139382.0,-4.4,-2.94
J0775,"Injection, collagenase, clostridium histolyticum, 0.01 mg",68438.0,154,8,50.487303707375,3473299.23,,,,
J9030,"Bcg live intravesical instillation, 1 mg",1569825.4,12140,660,2.1952281244130303,3447945.36,,,,
99231,"Subsequent hospital care with straightforward or low level of medical decision making, per day, if using time, at least 25 minutes",81568.0,47731,1609,38.948384328778126,3221426.04,,,,
76857,Limited ultrasound scan of pelvis,78477.0,58987,529,36.99118148614313,3052285.92,,,,
99233,"Subsequent hospital care with moderate levelof medical decision making, if using time, at least 50 minutes",31334.0,16649,550,94.78999594923637,2994281.04,,,,
96402,Administration of hormonal anti-neoplastic chemotherapy under skin or into muscle,112867.0,59571,2423,25.7621669713149,2921037.29,,,,
64561,Insertion of sacral nerve neurostimulator electrode array,7189.0,5715,266,408.11872213204697,2675785.9,,,,
51705,Simple change of bladder tube,36241.0,12526,730,69.27452555227642,2537623.65,35.77726345,27341.0,93.6,33.5
51705,Simple change of bladder tube,36241.0,12526,730,69.27452555227642,2537623.65,69.683132911,122857.0,-0.6,-0.41
J9155,"Injection, degarelix, 1 mg",681192.0,2459,144,3.1626296141354167,2159497.92,,,,
81002,"Urinalysis, manual test",635301.0,411472,1947,3.3866652161110937,2153744.0,,,,
51741,Electronic assessment of bladder emptying,250662.0,203152,3080,7.152726353022755,2142547.91,4.3079806322,20343.0,66.0,2.84
51741,Electronic assessment of bladder emptying,250662.0,203152,3080,7.152726353022755,2142547.91,8.2862244608,316180.0,-13.7,-1.13
53854,Destruction of prostate tissue using radiofrequency induced heated water vapor,2139.0,2135,125,967.525079246875,2122278.25,391.72891304,2162.0,147.0,575.8
53854,Destruction of prostate tissue using radiofrequency induced heated water vapor,2139.0,2135,125,967.525079246875,2122278.25,1391.0626896,4945.0,-30.4,-423.54
87640,"Detection test by nucleic acid for staphylococcus aureus (bacteria), amplified probe technique",61274.0,40901,410,34.30122441056585,2101225.0100000002,,,,
99442,"Telephone medical discussion with physician, 11-20 minutes",33583.0,28198,802,59.76860624648777,2048505.07,,,,
0421T,Waterjet destruction of prostrate accessed through the urethra,3363.0,3359,159,597.3295550479245,2032504.8,689.13869565,23.0,-13.3,-91.81
0421T,Waterjet destruction of prostrate accessed through the urethra,3363.0,3359,159,597.3295550479245,2032504.8,639.31865,2800.0,-6.6,-41.99
50081,Complex surgical treatment of kidney stone with imaging guidance,2360.0,2169,105,857.806124476381,2028483.08,1006.3149936,6276.0,-14.8,-148.51
50081,Complex surgical treatment of kidney stone with imaging guidance,2360.0,2169,105,857.806124476381,2028483.08,940.02018868,53.0,-8.7,-82.21
87653,"Detection test by nucleic acid for strep (streptococcus, group b), amplified probe technique",58240.0,38702,380,34.28314804438684,1996214.96,,,,
96372,Injection of drug or substance under skin or into muscle,184920.0,69744,2005,10.741954443150698,1970426.66,,,,
84403,"Testosterone (hormone) level, total",77926.0,50558,816,25.12992327521936,1958437.58,,,,
99221,"Initial hospital care with straightforward or low level of medical decision making, per day, if using time, at least 40 minutes",29440.0,28386,1111,64.92595303177677,1928020.94,,,,
38571,Removal of lymph nodes of both sides of pelvis using an endoscope,7448.0,7441,379,251.71128108732628,1907761.57,,,,
51784,Non-needle measurement and recording of electrical activity of muscles at bladder and bowel openings,73889.0,68801,1804,24.332177417185246,1896887.28,26.719446234,114218.0,-8.9,-2.39
51784,Non-needle measurement and recording of electrical activity of muscles at bladder and bowel openings,73889.0,68801,1804,24.332177417185246,1896887.28,15.95452803,13200.0,52.5,8.38
99426,"Principal care management services for a single high-risk disease, first 30 minutes of clinical staff time directed by health care professional, per calendar month",40455.0,12205,355,47.35322204036901,1877505.43,,,,
74176,Ct scan of abdomen and pelvis without contrast,22359.0,20685,562,85.11383016697543,1834198.43,,,,
55899,Other procedure on male genital system,10519.0,9951,231,149.70124590302595,1798076.49,,,,
74420,Imaging of urinary tract following injection of a contrast agent,92334.0,74397,2825,19.401701530064404,1788599.31,,,,
52214,"Destruction of tissue of bladder, urethra, or surrounding glands using an endoscope",3769.0,3243,122,312.38261342829367,1630437.05,639.1487621,4338.0,-51.1,-326.77
52214,"Destruction of tissue of bladder, urethra, or surrounding glands using an endoscope",3769.0,3243,122,312.38261342829367,1630437.05,199.69316635,12077.0,56.4,112.69
51703,Complicated insertion of bladder tube,14466.0,7455,380,104.66827716914251,1613009.24,58.885425896,17833.0,77.7,45.78
51703,Complicated insertion of bladder tube,14466.0,7455,380,104.66827716914251,1613009.24,118.15917645,32700.0,-11.4,-13.49
52235,"Destruction and/or removal of growth of bladder and urethra using an endoscope, 2.0-5.0 cm",7435.0,6674,409,214.5349116877561,1606499.38,322.87929855,34343.0,-33.6,-108.34
52235,"Destruction and/or removal of growth of bladder and urethra using an endoscope, 2.0-5.0 cm",7435.0,6674,409,214.5349116877561,1606499.38,212.92594904,785.0,0.8,1.61
50543,Partial removal of kidney using an endoscope,1395.0,1383,89,1108.556288867191,1571515.43,1031.1693056,72.0,7.5,77.39
50543,Partial removal of kidney using an endoscope,1395.0,1383,89,1108.556288867191,1571515.43,937.05990041,7531.0,18.3,171.5
J3315,"Injection, triptorelin pamoate, 3.75 mg",5345.0,804,39,293.2376202471795,1564505.38,,,,
76942,Ultrasonic guidance for needle placement,44466.0,43311,1711,34.46319440402155,1535699.71,,,,
88120,"Cell examination of urine, manual",4931.0,3298,54,300.952504591,1480933.3900000001,,,,
99443,"Telephone medical discussion with physician, 21-30 minutes",16037.0,13456,400,87.92432835293104,1473529.93,,,,
99439,"Chronic care management services for two or more chronic conditions, additional 20 minutes of clinical staff time directed by health care professional, per calendar month",39331.0,19273,447,36.713979148765105,1439498.41,,,,
87500,"Detection test by nucleic acid for vancomycin resistance strep (vre), amplified probe technique",41826.0,28182,349,34.30211696433811,1434353.32,,,,
J9281,"Mitomycin pyelocalyceal instillation, 1 mg",5920.0,11,1,230.24599493,1363056.29,,,,
57425,Surgical repair of vaginal defect using an endoscope,1826.0,1825,93,730.7847466556989,1311884.02,,,,
81001,"Manual urinalysis test with examination using microscope, automated",424281.0,269269,1089,3.069741773395225,1310249.63,,,,
87641,"Detection test by nucleic acid for staphylococcus aureus, methicillin resistant (mrsa bacteria), amplified probe technique",36549.0,23586,228,34.30966930704386,1252882.91,,,,
93975,Complete ultrasound of abdomen and pelvis artery and vein blood flow,5391.0,4291,56,215.4016123480357,1241099.32,,,,
81000,"Manual urinalysis test with examination using microscope, non-automated",300334.0,172891,611,3.909520528425366,1177473.75,,,,
74018,"X-ray of abdomen, 1 view",63971.0,47508,803,18.02171334508426,1174804.29,,,,
50360,Transplantation of donor kidney,703.0,701,25,1508.569535634,1154322.68,1587.3716033,13703.0,-5.0,-78.8
93976,Ultrasound of abdomen and pelvis artery and vein blood flow,8858.0,7652,103,110.13179195517309,1078087.07,,,,
51701,Insertion of temporary bladder tube,31675.0,24444,587,33.05149855160202,1076886.87,33.440878091,130237.0,-1.2,-0.39
51701,Insertion of temporary bladder tube,31675.0,24444,587,33.05149855160202,1076886.87,18.879252825,9556.0,75.1,14.17
54405,Insertion of multicomponent inflatable penile implant,1777.0,1772,89,594.1497045611574,1075527.1,,,,
A4648,"Tissue marker, implantable, any type, each",5577.0,2332,112,193.1186228048125,1040397.54,,,,
99211,Office or other outpatient visit for the evaluation and management of established patient that may not require presence of healthcare professional,61031.0,37622,1138,16.876427966216898,1038128.69,,,,
G6015,"Intensity modulated treatment delivery, single or multiple fields/arcs,via narrow spatially and temporally modulated beams, binary, dynamic mlc, per treatment session",3630.0,724,22,265.65465777363636,1009543.37,,,,
87651,"Detection test by nucleic acid for strep (streptococcus, group a), amplified probe technique",29326.0,18133,192,34.320488023026044,1005579.5599999999,,,,
J1212,"Injection, dmso, dimethyl sulfoxide, 50%, 50 ml",1914.0,81,1,515.20213689,986096.89,,,,
87086,"Bacterial colony count, urine",120446.0,77813,647,7.854693754065843,948497.3,,,,
A9595,"Piflufolastat f-18, diagnostic, 1 millicurie",1886.0,221,11,498.79964227,904132.05,,,,
57288,Creation of sling around urethra in female to control leakage,2103.0,2102,110,432.0315530464545,894069.74,375.79583804,531.0,15.0,56.24
57288,Creation of sling around urethra in female to control leakage,2103.0,2102,110,432.0315530464545,894069.74,495.4718574,25245.0,-12.8,-63.44
52240,Destruction and/or removal of large growth of bladder using an endoscope,2941.0,2552,167,298.13731352161676,880868.53,409.39561424,20790.0,-27.2,-111.26
52240,Destruction and/or removal of large growth of bladder using an endoscope,2941.0,2552,167,298.13731352161676,880868.53,293.82705263,380.0,1.5,4.31
87799,"Detection test by nucleic acid for organism, quantification",20347.0,7748,72,41.805975157652774,850871.23,,,,
A9596,"Gallium ga-68 gozetotide, diagnostic, (illuccix), 1 millicurie",957.0,189,7,802.8128305342858,779817.09,,,,
G0416,"Surgical pathology, gross and microscopic examinations, for prostate needle biopsy, any method",4728.0,4649,171,164.69260723584793,770815.53,224.52885502,91364.0,-26.6,-59.84
G0416,"Surgical pathology, gross and microscopic examinations, for prostate needle biopsy, any method",4728.0,4649,171,164.69260723584793,770815.53,138.81559993,53256.0,18.6,25.88
52352,Removal or manipulation of stone in ureter or kidney using an endoscope,4673.0,4405,260,167.24686752371537,766158.64,198.45430769,260.0,-15.7,-31.21
52352,Removal or manipulation of stone in ureter or kidney using an endoscope,4673.0,4405,260,167.24686752371537,766158.64,278.0283281,20713.0,-39.8,-110.78
55867,Simple surgical subtotal removal of prostate using laparoscope,970.0,970,60,770.2417405418333,752271.74,,,,
84154,"Psa (prostate specific antigen) measurement, free",41927.0,32542,481,17.9196478867131,751917.65,18.131852964,464866.0,-1.2,-0.21
82570,Creatinine level to test for kidney function or muscle injury,148602.0,85478,192,5.049589547051042,750265.14,5.1181987578,161.0,-1.3,-0.07
82570,Creatinine level to test for kidney function or muscle injury,148602.0,85478,192,5.049589547051042,750265.14,5.1051646716,4670267.8,-1.1,-0.06
52234,"Destruction and/or removal of growth of bladder and urethra using an endoscope, 0.5-2.0 cm",4098.0,3703,233,183.44807077957628,748181.22,317.42940379,26031.0,-42.2,-133.98
52234,"Destruction and/or removal of growth of bladder and urethra using an endoscope, 0.5-2.0 cm",4098.0,3703,233,183.44807077957628,748181.22,185.33131281,1592.0,-1.0,-1.88
55706,Needle biopsy of prostate gland using image guidance,2430.0,2420,112,300.05856457513045,730863.61,416.09171806,3632.0,-27.9,-116.03
55706,Needle biopsy of prostate gland using image guidance,2430.0,2420,112,300.05856457513045,730863.61,307.65137466,371.0,-2.5,-7.59
52005,Insertion of tube into ureter using an endoscope through bladder area,8575.0,8016,412,79.71345605377913,691049.81,137.68980559,28908.0,-42.1,-57.98
52005,Insertion of tube into ureter using an endoscope through bladder area,8575.0,8016,412,79.71345605377913,691049.81,210.68790838,1157.0,-62.2,-130.97
53850,Destruction of prostate tissue using microwave induced heat,552.0,505,16,1179.90944768125,676898.86,260.40181818,11.0,353.1,919.51
53850,Destruction of prostate tissue using microwave induced heat,552.0,505,16,1179.90944768125,676898.86,1276.7509478,939.0,-7.6,-96.84
11980,Placement of hormone pellet under skin,9450.0,4199,148,71.19429381839865,675746.5,,,,
99441,"Telephone medical discussion with physician, 5-10 minutes",18597.0,16129,483,35.08669852880164,673345.21,,,,
51595,Removal of bladder and lymph nodes on both sides of pelvis with transplantation of ureters to small or large bowel with creation of urinary opening,381.0,381,25,1684.5132896256002,643047.43,1450.5628681,2085.0,16.1,233.95
52204,Biopsy of bladder using an endoscope,4870.0,4329,243,125.37799177289388,614813.09,182.52358696,23644.0,-31.3,-57.15
52204,Biopsy of bladder using an endoscope,4870.0,4329,243,125.37799177289388,614813.09,281.52371827,3940.0,-55.5,-156.15
51999,Other procedure on bladder using an endoscope,434.0,434,26,1371.8869656453846,611159.88,997.94418667,2250.0,37.5,373.94
50545,Removal of kidney and lymph nodes using an endoscope,580.0,577,45,1028.2026635926666,603311.24,831.22003463,7509.0,23.7,196.98
76870,Ultrasound scan of scrotum,7893.0,6855,252,71.01099872960715,596246.85,,,,
52315,"Complicated removal of foreign body, stone, or stent in urethra or bladder using an endoscope",1704.0,1639,63,343.89505210625,586354.54,386.4319064,2906.0,-11.0,-42.54
52315,"Complicated removal of foreign body, stone, or stent in urethra or bladder using an endoscope",1704.0,1639,63,343.89505210625,586354.54,264.92414201,2366.0,29.8,78.97
78815,Nuclear medicine study from skull base to mid-thigh with ct scan,614.0,589,22,944.3730960627272,578952.46,,,,
52353,Crushing of stone of ureter using an endoscope,2121.0,1991,121,271.99248809586777,576784.29,402.97880616,11040.0,-32.5,-130.99
52353,Crushing of stone of ureter using an endoscope,2121.0,1991,121,271.99248809586777,576784.29,256.82172249,209.0,5.9,15.17
76705,Limited ultrasound scan of abdomen,8580.0,6984,82,61.742846251518074,565807.73,,,,
55875,Insertion of needle or tube into prostate for radiation therapy,918.0,782,42,611.2046325688095,560962.89,824.01153571,5587.0,-25.8,-212.81
55875,Insertion of needle or tube into prostate for radiation therapy,918.0,782,42,611.2046325688095,560962.89,595.2228972,321.0,2.7,15.98
52351,"Diagnostic exam of bladder, urethra, and ureter or kidney using an endoscope",2676.0,2395,146,210.76372368835618,554632.19,212.84457471,435.0,-1.0,-2.08
52351,"Diagnostic exam of bladder, urethra, and ureter or kidney using an endoscope",2676.0,2395,146,210.76372368835618,554632.19,317.39296395,23273.0,-33.6,-106.63
51792,Assessment of muscle signal of pelvic nerves,2487.0,2339,40,186.5556055579,541234.47,,,,
88112,"Cell examination of specimen, selective cellular enhancement technique",16892.0,11279,163,30.544714896963193,527307.45,,,,
52317,"Crushing, fragmenting, and removal of bladder stones, less than 2.5 cm",1164.0,941,37,368.57147663,526418.5499999999,696.40504014,1121.0,-47.1,-327.83
52317,"Crushing, fragmenting, and removal of bladder stones, less than 2.5 cm",1164.0,941,37,368.57147663,526418.5499999999,327.24570138,13395.0,12.6,41.33
81007,Urinalysis for bacteria,17196.0,10586,52,29.22544357775,503438.46,,,,
51600,Injection procedure for imaging of bladder during voiding,6758.0,6600,186,72.43464319043386,500679.46,110.69254266,8263.0,-34.6,-38.26
51600,Injection procedure for imaging of bladder during voiding,6758.0,6600,186,72.43464319043386,500679.46,28.525,12808.0,153.9,43.91
87088,Bacterial urine culture,59087.0,37905,458,7.885283879946725,465824.58,,,,
51715,Injection of implant material beneath lining of bladder and/or urethra using an endoscope,2546.0,2311,125,170.40921163196876,426219.03,493.00716878,9314.0,-65.4,-322.6
51715,Injection of implant material beneath lining of bladder and/or urethra using an endoscope,2546.0,2311,125,170.40921163196876,426219.03,285.30360505,2613.0,-40.3,-114.89
99309,"Subsequent nursing facility care with moderate level of medical decision making, per day, if using time, at least 30 minutes",5013.0,1262,14,82.60621639749999,416307.28,,,,
64581,Insertion of sacral nerve neurostimulator electrode,812.0,801,51,506.43069324156863,409829.22,,,,
84270,Sex hormone binding globulin (protein) level,18649.0,12263,137,21.122414757875912,395078.5,,,,
87900,Infectious agent drug susceptibility analysis,3147.0,2554,26,124.82878670076921,383718.95,,,,
55876,Placement of device in prostate for radiation therapy,6098.0,6082,283,64.02918013070891,375319.76,84.05309795,11414.0,-23.8,-20.02
55876,Placement of device in prostate for radiation therapy,6098.0,6082,283,64.02918013070891,375319.76,50.880930398,11264.0,25.8,13.15
87186,"Evaluation of antimicrobial drug (antibiotic, antifungal, antiviral), microdilution or agar dilution",43726.0,26232,468,8.432139466581624,369088.81,,,,
82670,Measurement of total estradiol (hormone),13357.0,8520,138,27.124799675586953,363007.55,,,,
52001,Irrigation and removal of multiple blood clots from bladder and urethra using an endoscope,1517.0,1289,58,220.11866163163933,358409.63,227.56019133,11394.0,-3.3,-7.44
52001,Irrigation and removal of multiple blood clots from bladder and urethra using an endoscope,1517.0,1289,58,220.11866163163933,358409.63,322.06891166,1415.0,-31.7,-101.95
64590,Insertion of peripheral or gastric neurostimulator generator,4533.0,4484,249,78.31234527060559,350725.6,,,,
54235,Injection procedure to cause erection,5180.0,4630,199,62.29914712082938,326867.66,,,,
91122,Study of rectum sensitivity and function,1489.0,850,27,205.22969456444446,322152.83,,,,
87661,"Detection test by nucleic acid for trichomonas vaginalis (genital parasite), amplified probe technique",8994.0,6770,71,34.30272850922535,308700.61,,,,
87077,Bacterial culture for aerobic isolates,38014.0,24138,406,7.880011440472907,300053.18,,,,
53445,Insertion of inflatable urethra or bladder neck sphincter,532.0,531,31,531.7782451491936,290305.95,976.7932784,2306.0,-45.6,-445.02
53445,Insertion of inflatable urethra or bladder neck sphincter,532.0,531,31,531.7782451491936,290305.95,477.88878378,74.0,11.3,53.89
74455,Review by radiologist of urinary bladder and urethra images with contrast and after passing urine,4742.0,4709,126,57.69259693037209,289123.42,80.264506084,4849.0,-28.1,-22.57
74455,Review by radiologist of urinary bladder and urethra images with contrast and after passing urine,4742.0,4709,126,57.69259693037209,289123.42,13.823303909,3965.0,317.4,43.87
51710,Complicated change of bladder tube,2591.0,733,47,106.58205124210417,283009.0,63.858888221,3328.0,66.9,42.72
51710,Complicated change of bladder tube,2591.0,733,47,106.58205124210417,283009.0,106.30950358,11744.0,0.3,0.27
99487,"Complex chronic care management services for two or more chronic conditions, first 60 minutes of clinical staff time directed by health care professional, per calendar month",2726.0,1137,52,104.96118951405768,279292.33,,,,
J1071,"Injection, testosterone cypionate, 1 mg",13301170.0,8374,303,0.0199148801,278180.44,,,,
51725,Simple measurement of pressure of urine flow in bladder,2270.0,2065,62,131.1686314937846,273633.21,52.702465555,1379.0,148.9,78.47
